ticker,w_sample,w_tiny,w_big
MRK,-0.0033088162531710315,0.004411349017518572,-0.009644353027033332
MS,-0.005537771787145456,0.02797782967248511,0.06255364832793969
MSFT,-0.0011994087809468435,-0.0995459639342258,0.01071819284687029
MUB,0.022588078549486076,0.055916494283922445,-0.0017631402332525083
NEM,-0.0026785176574237028,0.015366193492897794,0.04059050665309389
NFLX,-0.00033719088111685414,0.16068930816494026,0.08627873898291069
NKE,-0.0028792068667771674,-0.037730379451882796,0.044574967460187166
NOW,-2.505874828172083e-05,0.0950325512664364,0.06268337061009106
NSC,-0.0006482693698874016,0.06514335453369083,0.07069625394194319
NVDA,-1.606182279848367e-05,-0.08969818281492487,-0.12100899211994638
ORCL,-0.0007980297656952829,-0.05914978029156318,-0.0814047433009003
OXY,0.0006277251374826681,0.05453968165181307,0.0032346774761695418
PCAR,-0.00019719068950532843,-0.04913066529304068,-0.005218493348363886
PEP,0.0033818682443798424,-0.03911172834726534,-0.029874912614093346
PFE,0.0003785953002014644,0.1581046046629074,0.11230007580006611
PG,-0.004608797011335703,-0.10871918828461363,-0.06466317032723644
PH,0.0004842279123968108,-0.04163981863931859,0.03945529271724877
PNC,0.0018508176097143847,0.09372740888396237,0.10719278538209394
PRU,0.005287225750985038,-0.13144433897726748,-0.06937642613070079
QCOM,-0.00046003863732121107,-0.01964264561438663,0.03282530121366444
QQQ,0.022376436842111262,-0.1309654593992962,-0.10656435818630951
REGN,-0.0035741867453312295,-0.12747134034550825,-0.10210824505202831
RIO,-0.00040998633237840923,-0.10127306055790135,-0.020448074205774693
ROK,-0.002824409828222154,-0.08588755579652937,-0.05630516429044745
RTX,0.003269457523026692,-0.10527656924304263,-0.09044958358815623
SBUX,-0.0032842273179388,-0.12533377588108235,-0.07166328090551273
SCHW,0.0024830906436656155,-0.03752893574383651,0.05459985537533989
SHW,0.0006283276800871968,-0.10438072981805503,-0.016004194689978334
SHY,0.10022029464239854,-0.14688692030073436,-0.07721339296858899
SLB,-0.0016634397522664053,-0.058319799142971473,-0.03179311620140031
SLV,0.0013115300384954052,0.05472685089870365,0.0684160869770499
SMH,-0.011196879387296785,-0.1692340209070149,0.049395700619573664
SNOW,-0.0015338010035734605,0.07292731550293667,0.06203796524703003
SOXX,0.004883484998897212,-0.06798552058060667,-0.03588826931064642
SPY,-0.3665285329232558,-0.009468587088052313,0.13021274079695702
STT,0.0006086192315678541,0.26957703290914514,0.17548818529639873
SYK,0.006224206742039208,0.11606899961995105,0.06203253935254758
TFC,2.094263202597203e-05,0.06847563978878916,-0.0584480287192439
TGT,0.001048974306898555,0.0648399847858901,0.06562588795160286
TIP,-0.004658867277632507,-0.0881810001599757,-0.11617605761539991
TLT,0.0021255243913312774,-0.3161420125326439,-0.0770047330575122
TRV,0.0005743040811520398,-0.030434927190421162,0.03220545953195545
TXN,-0.0016850006723881405,0.18547780277550882,0.08490274460740452
UNH,-0.0038992478741114852,0.0572992711072492,-0.03374633741270354
UPS,-0.0008172443977489528,-0.14800723179705705,-0.10694679674011993
USO,0.0023951964951528268,0.05096401219167851,-0.021229337758314665
VCIT,-0.010621148440285822,0.11522479517841767,0.05522810851252897
VCSH,0.06462739630946536,-0.0562041591085598,-0.05645823574649172
VEA,-0.03005309669711567,-0.05358283469679437,0.03768149939588646
VGIT,-0.2570461026406318,-0.07371032721551199,-0.005926969284625171
VLO,9.123173018846505e-05,0.11051099061700786,0.026870924417778216
VOO,0.1432543368456755,0.022970853725267287,-0.028996286458879025
VRTX,0.0050936001539245495,0.24478840372740002,0.05682499580181495
VT,0.1389347706606981,0.15798512941324958,0.02830975918059044
VTI,0.02555048676422465,-0.05168944890094785,-0.04325383865113619
VWO,0.01047292339436101,0.20925428894614403,0.19742609659366192
WFC,0.000166797296927483,-0.18941195865831523,-0.062070459087437906
WMT,-0.0039748228219701875,0.15987805315786557,0.03593313201463195
XBI,-0.00330681436315358,0.0556649493066037,0.015549997328914645
XLB,7.016526937483471e-05,-0.219036058354362,-0.09462554771963458
XLE,-0.008583730848692805,0.1627463369205329,-0.003973359715358476
XLF,0.005711528953052792,0.06401753070314067,-0.01243146556888278
XLI,0.014153425634128554,-0.14988106296346565,-0.030587491837910343
XLK,0.013954270255444063,-0.0317190375874029,0.02554466103756167
XLP,0.009708615884798901,-0.019397110499289053,0.07927836434010026
XLRE,-0.013969616314236965,0.031432734291056086,-0.028993123599537485
XLU,0.0024030380290522096,-0.06354872488889436,-0.08579041536341571
XLV,0.012887430398254143,0.09874908364146105,0.015807224396008585
XLY,0.002774621624789502,0.14787979675920088,0.0928845923690517
XOM,0.005652163779017229,0.10094599746142346,0.06261257629994002
XRT,-0.0051163128398768005,-0.19091220079620871,-0.0527464405804998
ZTS,-0.0017371454057122455,-0.026146106998897398,0.05031423964146361
